title,description,category,condition,original_price,final_price
宿舍四件套（日用百货/其他日用品）,宿舍四件套，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/other_daily,like_new,463,293
饮料套餐（食品饮料/饮料酒水）,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,new,70,57
化妆品套装,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/decoration,fair,147,67
宿舍四件套,宿舍四件套，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/cosmetics,good,274,149
咖啡粉,咖啡粉，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,like_new,177,110
MacBook Pro 128G 2020款,MacBook Pro 128G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/accessories,like_new,6673,5202
电饭煲,电饭煲，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/decoration,fair,343,131
运动鞋 尺码S,运动鞋 尺码S，洗护得当，颜色保持良好，无明显污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/bag,new,554,393
桌游,桌游，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，校内自提优先。,other/service,new,1972,1518
电饭煲,电饭煲，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/kitchen,poor,220,41
MacBook Pro 256G 2023款,MacBook Pro 256G 2023款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/camera,good,2268,1263
羽绒服 尺码XL,羽绒服 尺码XL，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/jewelry,good,433,178
哑铃套装,哑铃套装，在学校体育馆使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/yoga,like_new,154,79
MacBook Pro 256G 2022款,MacBook Pro 256G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/accessories,like_new,5018,3975
蓝牙耳机 64G 2022款,蓝牙耳机 64G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/desktop,like_new,3660,2374
电饭煲,电饭煲，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/skincare,good,95,64
蓝牙耳机 256G 2020款（电子产品/台式电脑）,蓝牙耳机 256G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，支持当面验货。,electronics/desktop,good,7011,3880
羽绒服 尺码M（服装配饰/连衣裙）,羽绒服 尺码M，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/dress,good,131,67
固态硬盘 64G 2021款,固态硬盘 64G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/watch,like_new,6703,3399
双肩包 尺码XL,双肩包 尺码XL，洗护得当，颜色保持良好，无明显污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/jewelry,new,365,313
饮料套餐,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/health_food,good,43,22
骑行头盔（运动用品/球类用品）,骑行头盔，在学校操场使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/ball,good,384,204
收纳盒（日用百货/收纳用品）,收纳盒，宿舍自用，几乎全新，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/storage_box,new,312,252
专业参考书 第六版,专业参考书 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/reference,like_new,106,79
瑜伽垫,瑜伽垫，在学校操场使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/sports_clothing,like_new,920,632
显示器 256G 2020款,显示器 256G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，支持当面验货。,electronics/charger,fair,6354,2860
iPhone 13 128G 2023款,iPhone 13 128G 2023款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/phone,fair,4011,1976
运动鞋 尺码XL,运动鞋 尺码XL，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/bag,new,509,381
概率论教程 考研专用,概率论教程 考研专用，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/comic,new,109,77
宿舍四件套,宿舍四件套，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/bedding,like_new,120,75
华为 Mate 512G 2023款,华为 Mate 512G 2023款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/laptop,good,188,118
iPhone 14 256G 2020款（电子产品/台式电脑）,iPhone 14 256G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/desktop,good,1540,952
蓝牙耳机 128G 2023款（电子产品/智能手表/手环）,蓝牙耳机 128G 2023款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/watch,new,7271,5416
运动鞋 尺码S（服装配饰/包包）,运动鞋 尺码S，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/bag,good,172,117
收纳盒（日用百货/厨房用品）,收纳盒，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/kitchen,like_new,455,328
化妆品套装,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/personal_care,fair,273,70
风衣 尺码M,风衣 尺码M，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/dress,like_new,562,352
专业课教材 考研专用,专业课教材 考研专用，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/textbook,like_new,186,94
尤克里里,尤克里里，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，支持当面验货。,other/other_other,like_new,393,241
哑铃套装（运动用品/运动鞋）,哑铃套装，在学校操场使用，整体状态很好，适合日常锻炼，校内自提优先。,sports/sports_shoes,new,951,728
连帽外套 尺码M（服装配饰/上装）,连帽外套 尺码M，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/top,like_new,603,321
吹风机,吹风机，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，校内自提优先。,other/toy,like_new,85,59
尤克里里,尤克里里，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/ticket,good,1590,714
画板,画板，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，看中的话可以小刀一点。,other/art,fair,2637,1165
连帽外套 尺码S,连帽外套 尺码S，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/hat,new,605,492
奶茶券,奶茶券，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,good,140,63
奶茶券,奶茶券，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,good,130,69
四六级模拟题 第六版,四六级模拟题 第六版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/novel,new,154,136
台灯,台灯，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/decoration,good,38,22
木吉他,木吉他，在校期间使用，整体成色良好，适合有同样兴趣的同学，看中的话可以小刀一点。,other/appliance,good,1080,753
牛仔裤 尺码L,牛仔裤 尺码L，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/jewelry,like_new,138,91
尤克里里,尤克里里，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，看中的话可以小刀一点。,other/furniture,new,2621,2065
哑铃套装,哑铃套装，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，也可以邮寄，运费自理。,sports/sports_shoes,poor,644,65
瑜伽垫,瑜伽垫，在学校操场使用，表面有轻微磨损，适合日常锻炼，校内自提优先。,sports/sports_clothing,good,1122,606
木吉他（其他/票券卡券）,木吉他，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，支持当面验货。,other/ticket,like_new,2392,1461
手办模型,手办模型，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，支持当面验货。,other/appliance,like_new,1689,1240
手办模型（其他/家具）,手办模型，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，看中的话可以小刀一点。,other/furniture,like_new,1338,939
尤克里里,尤克里里，在校期间使用，整体成色良好，适合有同样兴趣的同学，支持当面验货。,other/toy,fair,1013,386
四六级模拟题 第七版,四六级模拟题 第七版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/exam,poor,191,35
水壶,水壶，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/decoration,like_new,325,165
雨伞（日用百货/清洁用品）,雨伞，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，也可以邮寄，运费自理。,daily/cleaning,good,275,165
木吉他（其他/艺术品收藏品）,木吉他，在校期间使用，整体成色良好，适合有同样兴趣的同学，支持当面验货。,other/art,new,2518,2121
考研英语真题 最新版,考研英语真题 最新版，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/textbook,like_new,40,22
篮球（运动用品/游泳用品）,篮球，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/swimming,good,801,523
骑行头盔,骑行头盔，在学校操场使用，整体状态很好，适合日常锻炼，也可以邮寄，运费自理。,sports/sports_clothing,like_new,1238,844
咖啡粉,咖啡粉，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/tea_coffee,new,122,104
瑜伽垫,瑜伽垫，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/yoga,fair,1199,441
羽毛球拍,羽毛球拍，在学校体育馆使用，整体状态很好，适合日常锻炼，支持当面验货。,sports/ball,like_new,1392,1009
水壶,水壶，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/decoration,fair,194,96
骑行头盔（运动用品/骑行装备）,骑行头盔，在学校操场使用，表面有轻微磨损，适合日常锻炼，校内自提优先。,sports/cycling,good,263,134
雨伞,雨伞，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，支持当面验货。,daily/storage_box,like_new,164,94
哑铃套装,哑铃套装，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，也可以邮寄，运费自理。,sports/running,fair,1385,587
显示器 512G 2020款,显示器 512G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/charger,like_new,1971,1217
马丁靴 尺码XL（服装配饰/下装）,马丁靴 尺码XL，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/bottom,good,791,340
奶茶券（食品饮料/其他食品）,奶茶券，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,like_new,111,64
篮球,篮球，在学校操场使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/swimming,good,1145,612
高数 同济版 最新版,高数 同济版 最新版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，校内自提优先。,books/other_books,fair,35,11
风衣 尺码XL,风衣 尺码XL，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/top,like_new,579,335
四六级模拟题 第六版,四六级模拟题 第六版，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/professional,good,70,28
蓝牙耳机 256G 2021款,蓝牙耳机 256G 2021款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/tablet,good,3376,1511
牛仔裤 尺码XL（服装配饰/外套大衣）,牛仔裤 尺码XL，洗护得当，颜色保持良好，无明显污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/outerwear,new,153,115
运动护膝,运动护膝，在学校操场使用，表面有轻微磨损，适合日常锻炼，校内自提优先。,sports/fitness,fair,178,75
吹风机,吹风机，在校期间使用，整体成色良好，适合有同样兴趣的同学，也可以邮寄，运费自理。,other/service,new,1495,1130
收纳盒,收纳盒，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/decoration,like_new,278,220
整箱方便面（食品饮料/饮料酒水）,整箱方便面，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/drinks,fair,105,40
漫画合集 考研专用,漫画合集 考研专用，部分章节有荧光笔划线，书脊完好，无缺页，适合备考或平时自学，也可以邮寄，运费自理。,books/other_books,fair,115,23
轻薄本 128G 2023款,轻薄本 128G 2023款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/accessories,new,2348,1985
骑行头盔,骑行头盔，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，校内自提优先。,sports/sports_shoes,fair,417,107
iPhone 13 512G 2022款（电子产品/平板电脑）,iPhone 13 512G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/tablet,good,3754,2033
整箱方便面,整箱方便面，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/tea_coffee,new,115,98
显示器 64G 2022款,显示器 64G 2022款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/desktop,like_new,7939,5528
吹风机,吹风机，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，支持当面验货。,other/service,good,1943,1166
收纳盒,收纳盒，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/personal_care,good,307,203
画板,画板，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，支持当面验货。,other/art,good,1880,1267
骑行头盔,骑行头盔，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，也可以邮寄，运费自理。,sports/yoga,fair,1028,352
华为 Mate 256G 2023款,华为 Mate 256G 2023款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/camera,like_new,3352,2642
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/tea_coffee,like_new,36,18
篮球（运动用品/运动服装）,篮球，在学校操场使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/sports_clothing,fair,934,304
连帽外套 尺码M,连帽外套 尺码M，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/dress,like_new,274,158
固态硬盘 128G 2020款,固态硬盘 128G 2020款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，校内自提优先。,electronics/storage,good,4860,2530
羽毛球拍,羽毛球拍，在学校操场使用，整体状态很好，适合日常锻炼，看中的话可以小刀一点。,sports/ball,new,829,668
小米手机 256G 2021款,小米手机 256G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，也可以邮寄，运费自理。,electronics/accessories,like_new,2616,1690
小米手机 128G 2021款（电子产品/笔记本电脑）,小米手机 128G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，校内自提优先。,electronics/laptop,like_new,3629,2687
篮球,篮球，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/sports_clothing,fair,1274,527
华为 Mate 64G 2021款,华为 Mate 64G 2021款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，支持当面验货。,electronics/laptop,good,6568,2810
画板,画板，在校期间使用，细节位置有轻微磨损，适合有同样兴趣的同学，校内自提优先。,other/art,good,2185,1349
降噪耳机 128G 2021款,降噪耳机 128G 2021款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，支持当面验货。,electronics/storage,like_new,7225,4839
卫衣 尺码S（服装配饰/配饰）,卫衣 尺码S，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/accessories,good,103,68
瑜伽垫（运动用品/骑行装备）,瑜伽垫，在学校操场使用，表面有轻微磨损，适合日常锻炼，也可以邮寄，运费自理。,sports/cycling,good,187,112
连帽外套 尺码S,连帽外套 尺码S，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/dress,new,541,449
帆布包 尺码XL,帆布包 尺码XL，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/top,good,636,290
固态硬盘 64G 2022款,固态硬盘 64G 2022款，平时学习和娱乐使用，外壳有少量细小划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/other_electronics,fair,6133,2599
桌游,桌游，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，校内自提优先。,other/service,good,2744,1272
奶茶券,奶茶券，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,like_new,67,42
显示器 512G 2020款,显示器 512G 2020款，平时学习和娱乐使用，外观几乎无划痕，无拆修，电池状态良好，看中的话可以小刀一点。,electronics/desktop,new,3566,3206
咖啡粉,咖啡粉，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/other_food,fair,26,12
羽绒服 尺码L（服装配饰/配饰）,羽绒服 尺码L，只在换季时偶尔穿，无明显污渍，衣服版型正常，不影响日常穿着，看中的话可以小刀一点。,clothing/accessories,like_new,555,371
牛仔裤 尺码L,牛仔裤 尺码L，穿着次数不多，无明显污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/hat,like_new,500,332
化妆品套装,化妆品套装，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/storage_box,like_new,184,132
木吉他（其他/服务技能）,木吉他，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，看中的话可以小刀一点。,other/service,like_new,2623,1810
整箱方便面,整箱方便面，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/health_food,like_new,191,150
宿舍四件套,宿舍四件套，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，校内自提优先。,daily/cosmetics,like_new,384,244
画板（其他/家电）,画板，在校期间使用，基本保持干净整洁，适合有同样兴趣的同学，支持当面验货。,other/appliance,like_new,141,70
零食大礼包,零食大礼包，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/instant_food,like_new,104,62
电磁炉,电磁炉，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/kitchen,like_new,175,129
小型冰箱（其他/乐器）,小型冰箱，在校期间使用，整体成色良好，适合有同样兴趣的同学，校内自提优先。,other/musical,good,2059,1156
运动鞋 尺码XL,运动鞋 尺码XL，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/dress,fair,708,272
跑步鞋（运动用品/骑行装备）,跑步鞋，在学校体育馆使用，整体状态很好，适合日常锻炼，支持当面验货。,sports/cycling,new,1217,990
瑜伽垫（运动用品/跑步装备）,瑜伽垫，在学校体育馆使用，整体状态很好，适合日常锻炼，支持当面验货。,sports/running,like_new,324,231
饮料套餐（食品饮料/零食）,饮料套餐，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/snacks,good,131,83
卫衣 尺码L,卫衣 尺码L，只在换季时偶尔穿，细看有少量小污渍，衣服版型正常，不影响日常穿着，支持当面验货。,clothing/bag,good,692,306
电磁炉（日用百货/化妆品）,电磁炉，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/cosmetics,good,280,166
足球,足球，在学校操场使用，表面有轻微磨损，适合日常锻炼，支持当面验货。,sports/sports_shoes,good,869,485
咖啡粉,咖啡粉，因为口味或囤多了转让，包装完好，保质期充足，适合宿舍一起拼单。,food/health_food,good,127,87
吹风机（其他/家电）,吹风机，在校期间使用，有正常使用痕迹，不影响功能，适合有同样兴趣的同学，支持当面验货。,other/appliance,new,797,671
电磁炉,电磁炉，宿舍自用，有正常使用痕迹，一直保持干净，转给需要的同学，看中的话可以小刀一点。,daily/cleaning,good,17,10
羽绒服 尺码XL,羽绒服 尺码XL，洗护得当，颜色保持良好，细看有少量小污渍，衣服版型正常，不影响日常穿着，也可以邮寄，运费自理。,clothing/jewelry,fair,237,72
瑜伽垫,瑜伽垫，在学校体育馆使用，表面有轻微磨损，适合日常锻炼，看中的话可以小刀一点。,sports/sports_clothing,fair,679,302
运动鞋 尺码M,运动鞋 尺码M，穿着次数不多，细看有少量小污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/hat,good,488,265
考研英语真题 考研专用,考研英语真题 考研专用，只有少量铅笔标注，书脊完好，无缺页，适合备考或平时自学，支持当面验货。,books/professional,new,114,90
线性代数 第七版,线性代数 第七版，几乎未写过习题，书脊完好，无缺页，适合备考或平时自学，看中的话可以小刀一点。,books/exam,good,176,116
风衣 尺码M,风衣 尺码M，洗护得当，颜色保持良好，细看有少量小污渍，衣服版型正常，不影响日常穿着，校内自提优先。,clothing/hat,good,83,50
